hhld_id,Street,Accesspt_perstreet_hhld,Main municipality,Energy,Sectors,Approximate consumption (kWh),direction,Consumption year,Regio,Number of Access Points,access_pts_factor,accesspt_location,longitude,latitude
hhld1,BREENDONKSTRAAT,1,GENT,Electricity,"Brughuizeken,Malem",2157.4874,Decrease,2019,Regio 1,25,2,"[3.6954106972701894, 51.054421178025436]",3.6954106972701894,51.054421178025436
hhld2,BREENDONKSTRAAT,2,GENT,Electricity,"Brughuizeken,Malem",2157.4874,Decrease,2019,Regio 1,25,2,"[3.695490487359667, 51.054370071071446]",3.695490487359667,51.054370071071446
hhld3,BREENDONKSTRAAT,3,GENT,Electricity,"Brughuizeken,Malem",2157.4874,Decrease,2019,Regio 1,25,2,"[3.695570277449144, 51.05431896411745]",3.695570277449144,51.05431896411745
hhld4,BREENDONKSTRAAT,4,GENT,Electricity,"Brughuizeken,Malem",2157.4874,Decrease,2019,Regio 1,25,2,"[3.6956500675386215, 51.05426785716346]",3.6956500675386215,51.05426785716346
hhld5,BREENDONKSTRAAT,5,GENT,Electricity,"Brughuizeken,Malem",2157.4874,Decrease,2019,Regio 1,25,2,"[3.695729813488816, 51.054216681486636]",3.695729813488816,51.054216681486636
hhld6,BREENDONKSTRAAT,6,GENT,Electricity,"Brughuizeken,Malem",2157.4874,Decrease,2019,Regio 1,25,2,"[3.695809475713633, 51.054165375453245]",3.695809475713633,51.054165375453245
hhld7,BREENDONKSTRAAT,7,GENT,Electricity,"Brughuizeken,Malem",2157.4874,Decrease,2019,Regio 1,25,2,"[3.69588913793845, 51.05411406941985]",3.69588913793845,51.05411406941985
hhld8,BREENDONKSTRAAT,8,GENT,Electricity,"Brughuizeken,Malem",2157.4874,Decrease,2019,Regio 1,25,2,"[3.6959690587389455, 51.0540631682266]",3.6959690587389455,51.0540631682266
hhld9,BREENDONKSTRAAT,9,GENT,Electricity,"Brughuizeken,Malem",2157.4874,Decrease,2019,Regio 1,25,2,"[3.69604910649596, 51.05401246580336]",3.69604910649596,51.05401246580336
hhld10,BREENDONKSTRAAT,10,GENT,Electricity,"Brughuizeken,Malem",2157.4874,Decrease,2019,Regio 1,25,2,"[3.6961291542529744, 51.05396176338012]",3.6961291542529744,51.05396176338012
hhld11,BREENDONKSTRAAT,11,GENT,Electricity,"Brughuizeken,Malem",2157.4874,Decrease,2019,Regio 1,25,2,"[3.696209202390045, 51.05391106155692]",3.696209202390045,51.05391106155692
hhld12,BREENDONKSTRAAT,12,GENT,Electricity,"Brughuizeken,Malem",2157.4874,Decrease,2019,Regio 1,25,2,"[3.6962892505699214, 51.05386035980129]",3.6962892505699214,51.05386035980129
hhld13,BREENDONKSTRAAT,13,GENT,Electricity,"Brughuizeken,Malem",2157.4874,Decrease,2019,Regio 1,25,2,"[3.696369212804442, 51.05380952326692]",3.696369212804442,51.05380952326692
hhld14,BREENDONKSTRAAT,14,GENT,Electricity,"Brughuizeken,Malem",2157.4874,Decrease,2019,Regio 1,25,2,"[3.696448949854531, 51.05375833360031]",3.696448949854531,51.05375833360031
hhld15,BREENDONKSTRAAT,15,GENT,Electricity,"Brughuizeken,Malem",2157.4874,Decrease,2019,Regio 1,25,2,"[3.696528686904621, 51.05370714393369]",3.696528686904621,51.05370714393369
