,building_id,pv_latitude,pv_longitude,pv_production,installation_cost,carbon_emission,energy_consumption,households,quality
241,1422806,"[51.05269665993794, 51.05259889990442]","[3.693310589486338, 3.693343996891626]","[3574, 3578]","[2034.15, 2036.43]","[3657.4, 3661.49]","[2577.95, 2577.95, 2577.95, 2577.95, 2577.95, 2577.95, 2577.95, 2577.95, 2577.95, 2577.95]","['hhld376', 'hhld377', 'hhld378', 'hhld379', 'hhld380', 'hhld381', 'hhld382', 'hhld383', 'hhld384', 'hhld385']",11513.85793741687
242,1422806,"[51.05342463736632, 51.05264855232615]","[3.6944102911665273, 3.693326419201395]","[17939, 3582]","[10210.02, 2038.7]","[1982.2, 3665.59]","[1418.256666666667, 2012.253333333333, 1418.256666666667, 1946.5308333333332, 1946.5308333333332, 1946.5308333333332, 2577.95, 2577.95, 2577.95, 2577.95, 4227.811428571428, 2577.95, 2577.95, 1946.5308333333332, 1418.256666666667, 2012.253333333333, 2012.253333333333, 4227.811428571428, 4227.811428571428, 2577.95, 2577.95, 2577.95, 2577.95, 2577.95, 4227.811428571428, 2577.95, 2577.95, 2577.95, 2577.95]","['hhld165', 'hhld235', 'hhld164', 'hhld152', 'hhld151', 'hhld153', 'hhld365', 'hhld367', 'hhld369', 'hhld371', 'hhld330', 'hhld364', 'hhld366', 'hhld154', 'hhld163', 'hhld236', 'hhld237', 'hhld329', 'hhld331', 'hhld368', 'hhld370', 'hhld372', 'hhld373', 'hhld374', 'hhld332', 'hhld360', 'hhld375', 'hhld386', 'hhld387']",3054.1626291443613
49,1421729,"[51.05267591155356, 51.05300300400606, 51.05310557632765]","[3.694541336655735, 3.6933494157854754, 3.693317468840596]","[15216, 3780, 3290]","[8660.22, 2151.39, 1872.51]","[15571.07, 3868.21, 3366.77]","[2577.95, 2577.95, 2577.95, 2577.95, 2577.95, 2577.95, 2577.95, 2577.95, 2577.95, 2577.95, 2577.95, 2577.95, 2577.95, 2577.95, 2577.95, 2577.95, 2577.95, 2577.95, 2577.95, 2577.95, 2577.95, 2577.95, 2577.95, 2577.95, 2577.95, 2577.95, 2577.95]","['hhld336', 'hhld337', 'hhld338', 'hhld339', 'hhld340', 'hhld341', 'hhld342', 'hhld343', 'hhld344', 'hhld345', 'hhld346', 'hhld347', 'hhld348', 'hhld349', 'hhld350', 'hhld351', 'hhld352', 'hhld353', 'hhld354', 'hhld355', 'hhld356', 'hhld357', 'hhld358', 'hhld359', 'hhld363', 'hhld361', 'hhld362']",5717.042626098441
91,1421725,"[51.05307549184351, 51.05408943511603]","[3.694946566904053, 3.6947327288363816]","[14759, 3192]","[8400.11, 1816.73]","[15103.4, 3266.49]","[2324.219743589744, 2324.219743589744, 2324.219743589744, 2324.219743589744, 2324.219743589744, 2324.219743589744, 2324.219743589744, 2324.219743589744, 2324.219743589744, 2324.219743589744, 2324.219743589744, 2324.219743589744, 2324.219743589744, 2324.219743589744, 2324.219743589744, 2324.219743589744, 2324.219743589744, 2324.219743589744, 2324.219743589744, 2324.219743589744, 2324.219743589744, 2324.219743589744, 2324.219743589744]","['hhld308', 'hhld309', 'hhld310', 'hhld311', 'hhld312', 'hhld313', 'hhld314', 'hhld315', 'hhld316', 'hhld317', 'hhld319', 'hhld307', 'hhld302', 'hhld304', 'hhld303', 'hhld305', 'hhld298', 'hhld301', 'hhld306', 'hhld297', 'hhld299', 'hhld300', 'hhld318']",3095.06285188741
311,1421730,[51.05277955003076],[3.6945074190414697],[14314],[8146.84],[14648.02],"[4227.811428571428, 4227.811428571428, 2081.0305797101446, 2081.0305797101446, 2081.0305797101446, 2081.0305797101446, 2081.0305797101446, 2081.0305797101446, 2081.0305797101446, 2081.0305797101446, 2081.0305797101446, 2081.0305797101446, 2081.0305797101446, 2081.0305797101446, 2081.0305797101446, 2081.0305797101446, 2621.901428571429]","['hhld334', 'hhld335', 'hhld92', 'hhld94', 'hhld27', 'hhld28', 'hhld93', 'hhld26', 'hhld44', 'hhld29', 'hhld46', 'hhld47', 'hhld30', 'hhld31', 'hhld39', 'hhld48', 'hhld214']",11232.509010407974
202,1421728,"[51.05293503949965, 51.0522529513618]","[3.6944530193521232, 3.695391223917604]","[14118, 1177]","[8035.29, 669.89]","[14447.45, 1204.47]","[2493.285, 2493.285, 2493.285, 2493.285, 2493.285, 2493.285, 2493.285, 2493.285, 2493.285, 2493.285, 2493.285, 2493.285, 2493.285, 2324.219743589744, 2324.219743589744, 2852.16, 2324.219743589744, 2324.219743589744, 2324.219743589744, 2324.219743589744]","['hhld273', 'hhld274', 'hhld275', 'hhld276', 'hhld277', 'hhld278', 'hhld279', 'hhld280', 'hhld281', 'hhld282', 'hhld283', 'hhld284', 'hhld285', 'hhld290', 'hhld291', 'hhld216', 'hhld292', 'hhld293', 'hhld294', 'hhld295']",3052.107957178289
344,1421495,"[51.05569069220756, 51.05145887500253, 51.05069310441822, 51.05158219208906]","[3.693486987601512, 3.6954520848163113, 3.695017764036486, 3.695399895263828]","[13109, 692, 1005, 1419]","[7461.01, 393.85, 572.0, 807.63]","[13414.9, 708.15, 13318.71, 718.38]","[2493.285, 2493.285, 2493.285, 2493.285, 2493.285, 2493.285, 2493.285, 2493.285, 2493.285, 2493.285, 2493.285, 2493.285, 2493.285, 2493.285, 2621.901428571429, 2493.285, 2493.285, 3210.38, 3210.38, 2493.285, 2493.285]","['hhld255', 'hhld256', 'hhld257', 'hhld258', 'hhld259', 'hhld260', 'hhld261', 'hhld262', 'hhld263', 'hhld264', 'hhld265', 'hhld266', 'hhld267', 'hhld268', 'hhld190', 'hhld269', 'hhld270', 'hhld155', 'hhld156', 'hhld271', 'hhld272']",1521.7397632525858
53,5888225,[51.05068109931446],[3.695020435446472],[13015],[7407.51],[1028.45],"[2493.285, 2493.285, 2493.285, 2493.285, 2493.285, 2493.285, 2493.285, 2493.285, 2493.285, 2493.285, 2493.285, 2493.285, 2493.285, 2493.285, 2493.285, 2493.285]","['hhld238', 'hhld239', 'hhld240', 'hhld242', 'hhld244', 'hhld241', 'hhld243', 'hhld245', 'hhld246', 'hhld247', 'hhld248', 'hhld249', 'hhld250', 'hhld251', 'hhld252', 'hhld253']",5308.434783061807
54,5888225,"[51.05068109931446, 51.05342100527321, 51.05472764159642, 51.05443873042629]","[3.695020435446472, 3.693338327294867, 3.6941348880966447, 3.694341995788218]","[13015, 4802, 2115, 3167]","[7407.51, 2733.07, 1203.76, 1802.5]","[13318.71, 4914.06, 2164.35, 3240.9]","[2324.219743589744, 2852.16, 2237.046923076923, 2324.219743589744, 2852.16, 2852.16, 2324.219743589744, 2157.4874, 1937.3709090909088, 2852.16, 2157.4874, 2237.046923076923, 2237.046923076923, 2237.046923076923, 2237.046923076923, 2324.219743589744, 2157.4874, 2157.4874, 1937.3709090909088, 2852.16, 2237.046923076923, 2237.046923076923, 2237.046923076923, 2237.046923076923, 2237.046923076923, 2324.219743589744, 2157.4874, 1937.3709090909088, 1815.34, 2324.219743589744, 2324.219743589744, 2324.219743589744]","['hhld328', 'hhld219', 'hhld223', 'hhld326', 'hhld217', 'hhld220', 'hhld325', 'hhld10', 'hhld179', 'hhld221', 'hhld11', 'hhld222', 'hhld224', 'hhld225', 'hhld226', 'hhld323', 'hhld2', 'hhld18', 'hhld178', 'hhld218', 'hhld227', 'hhld228', 'hhld229', 'hhld230', 'hhld231', 'hhld324', 'hhld1', 'hhld180', 'hhld287', 'hhld320', 'hhld321', 'hhld322']",885.8360218105448
122,1421272,"[51.05303014784354, 51.05153361597578, 51.05158219208906]","[3.694420693249242, 3.695428900369877, 3.695399895263828]","[11875, 702, 1419]","[6758.68, 399.54, 807.63]","[12152.11, 718.38, 1452.11]","[2621.901428571429, 2621.901428571429, 2621.901428571429, 2621.901428571429, 2621.901428571429, 2621.901428571429, 2621.901428571429, 2621.901428571429, 2621.901428571429, 2621.901428571429, 2621.901428571429, 2621.901428571429, 2621.901428571429, 2621.901428571429, 2621.901428571429, 2621.901428571429, 2621.901428571429]","['hhld192', 'hhld193', 'hhld194', 'hhld195', 'hhld196', 'hhld197', 'hhld198', 'hhld199', 'hhld200', 'hhld201', 'hhld202', 'hhld203', 'hhld204', 'hhld205', 'hhld206', 'hhld207', 'hhld191']",2734.771875010443
